9sudoku,,,,,Averages,,,,,,,,,,,,,,,,,,,,,,,,,,
R,F,,,,,RF,,,GNB,,,MLP,,,SVM,,,,,,,,,,,,,,,,
0.972222222,0.985585308,0.724238623,,,Accuracy,Balanced Acc,F1-Score,Accuracy,Balanced Acc,F1-Score,Accuracy,Balanced Acc,F1-Score,Accuracy,Balanced Acc,F1-Score,,,,,,,,,,,,,,,
0.989903965,0.959921799,0.958123378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.950858726,0.806753813,0.757324489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,V,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.882984487,0.535483871,0.132450252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.929612188,0.723202614,0.617189493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.944119044,0.780199253,0.71827288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.940240074,0.766458557,0.695201885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.97251773,0.890652557,0.877188448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.991135734,0.965367965,0.96412037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.994091581,0.977011494,0.976461773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.997253378,0.989021808,0.987853709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nurse_rostering_adv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.978280779,0.983597232,0.739506021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.988928276,0.993680997,0.814578069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.990457265,0.992587891,0.889132704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.989196213,0.99379968,0.806808391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.996011995,0.996047131,0.926024766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.992766552,0.99580864,0.855713783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.996384825,0.998043199,0.908318066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.996947497,0.998449132,0.91416309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.992942613,0.996008027,0.870711962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.922322216,0.776137137,0.581963128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,N,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.961246778,0.980200323,0.574977442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.941959526,0.955916743,0.544340694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.970015699,0.984725773,0.597066618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.975722426,0.987642268,0.630935753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.97976801,0.989712228,0.655240262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.979639805,0.989647075,0.653954023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.980748881,0.990218178,0.656313575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
